0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:11 -0700] "GET /project1/form?title=Capital%20Punishment&year=&director=&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 7583
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:11 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:11 -0700] "GET /project1/add.gif HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:12 -0700] "GET /project1/form?title=&year=&director=&star=&pages=10&sort=ta&initial=0&genre=Crime&char= HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:21 -0700] "GET /project1/form?title=Capital%20Punishment&year=&director=&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 7583
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:21 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:21 -0700] "GET /project1/add.gif HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:22 -0700] "GET /project1/star?title=&year=&director=&star=Richard%20Driscoll&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 3422
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:22 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:22 -0700] "GET /project1/form?title=Capital%20Punishment&year=&director=&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 7583
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:23 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:23 -0700] "GET /project1/add.gif HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:24 -0700] "GET /project1/form?title=Capital%20Punishment&year=2003&director=Adrian%20Vitoria&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:24 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:24 -0700] "GET /project1/add.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:42:27 -0700] "GET /project1/form?title=&year=&director=&star=&pages=10&sort=ta&initial=0&genre=Crime&char= HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - admin [05/Jun/2018:18:44:09 -0700] "POST /manager/html/undeploy?path=/project1&org.apache.catalina.filters.CSRF_NONCE=7210778436F0C2F50FFD6B1B0786DFDC HTTP/1.1" 200 17675
0:0:0:0:0:0:0:1 - admin [05/Jun/2018:18:44:14 -0700] "POST /manager/html/upload?org.apache.catalina.filters.CSRF_NONCE=F74A19450A6C77FAA24138937C7B6DFF HTTP/1.1" 200 19407
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:15 -0700] "GET /project1/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:15 -0700] "GET /project1/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:15 -0700] "GET /project1/login.html HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:15 -0700] "GET /project1/index.css HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:15 -0700] "GET /project1/login.js HTTP/1.1" 200 1579
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:15 -0700] "GET /project1/movies.jpg HTTP/1.1" 200 419397
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:25 -0700] "POST /project1/api/login HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:25 -0700] "GET /project1/index.html HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:25 -0700] "GET /project1/index.css HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:25 -0700] "GET /project1/index.js HTTP/1.1" 200 5511
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:25 -0700] "GET /project1/movies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:26 -0700] "GET /project1/searching HTTP/1.1" 200 3158
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:26 -0700] "GET /project1/index.css HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:26 -0700] "GET /project1/movies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:28 -0700] "GET /project1/form?title=pokemon&year=&director=&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 11209
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:28 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:28 -0700] "GET /project1/add.gif HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:30 -0700] "GET /project1/form?title=&year=&director=&star=&pages=10&sort=ta&initial=0&genre=Action&char= HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:38 -0700] "GET /project1/form?title=pokemon&year=&director=&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 11209
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:38 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:40 -0700] "GET /project1/browse HTTP/1.1" 200 14267
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:40 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:41 -0700] "GET /project1/form?title=&year=&director=&star=&pages=10&sort=ta&initial=0&genre=Biography&char= HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:41 -0700] "GET /project1/browse HTTP/1.1" 200 14267
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:41 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:44 -0700] "GET /project1/form?title=&year=&director=&star=&pages=10&sort=ta&initial=0&genre=&char=B HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:46 -0700] "GET /project1/browse HTTP/1.1" 200 14267
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:44:46 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:25 -0700] "GET /project1/browse HTTP/1.1" 200 14267
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:25 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:26 -0700] "GET /project1/movielist HTTP/1.1" 200 11359
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:26 -0700] "GET /project1/main.css HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:27 -0700] "GET /project1/searching HTTP/1.1" 200 3158
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:27 -0700] "GET /project1/index.css HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:27 -0700] "GET /project1/movies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:30 -0700] "GET /project1/form?title=bar&year=&director=&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 34941
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:30 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:30 -0700] "GET /project1/add.gif HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:31 -0700] "GET /project1/form?title=A%20Sublime%20Love%20Story:%20Barsaat&year=2005&director=Suneel%20Darshan&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 8065
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:31 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:31 -0700] "GET /project1/add.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:34 -0700] "GET /project1/form?title=A%20Sublime%20Love%20Story:%20Barsaat&year=2005&director=Suneel%20Darshan&star=&pages=10&sort=td&initial=0&genre=&char= HTTP/1.1" 200 8065
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:34 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:34 -0700] "GET /project1/add.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:35 -0700] "GET /project1/form?title=A%20Sublime%20Love%20Story:%20Barsaat&year=2005&director=Suneel%20Darshan&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 8065
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:35 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [05/Jun/2018:18:45:35 -0700] "GET /project1/add.gif HTTP/1.1" 304 -
