0:0:0:0:0:0:0:1 - admin [06/Jun/2018:12:44:42 -0700] "POST /manager/html/reload?path=/project1&org.apache.catalina.filters.CSRF_NONCE=289D2868DD919FEC8627F2B24C3F6346 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:42 -0700] "GET /project1/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:42 -0700] "GET /project1/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:42 -0700] "GET /project1/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:42 -0700] "GET /project1/login.html HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:42 -0700] "GET /project1/index.css HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:42 -0700] "GET /project1/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:42 -0700] "GET /project1/movies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:54 -0700] "POST /project1/api/login HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:54 -0700] "GET /project1/index.html HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:54 -0700] "GET /project1/index.css HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:54 -0700] "GET /project1/index.js HTTP/1.1" 200 5511
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:54 -0700] "GET /project1/movies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:57 -0700] "GET /project1/movieSuggestion?query=pokemon HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:58 -0700] "GET /project1/form?title=Pok%EF%BF%BDmon%20Heroes&year=2002&director=Jim%20Malone&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 7985
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:58 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:44:58 -0700] "GET /project1/add.gif HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:00 -0700] "GET /project1/ HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:00 -0700] "GET /project1/index.css HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:00 -0700] "GET /project1/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:00 -0700] "GET /project1/movies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:02 -0700] "GET /project1/movieSuggestion?query=ghost HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:03 -0700] "GET /project1/form?title=Ghostlight&year=2003&director=Christopher%20Herrmann&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 7739
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:03 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:03 -0700] "GET /project1/add.gif HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:05 -0700] "GET /project1/ HTTP/1.1" 200 2147
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:05 -0700] "GET /project1/index.css HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:05 -0700] "GET /project1/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:05 -0700] "GET /project1/movies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:05 -0700] "GET /project1/searching HTTP/1.1" 200 3152
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:05 -0700] "GET /project1/index.css HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:05 -0700] "GET /project1/movies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:09 -0700] "GET /project1/form?title=car&year=&director=&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 34305
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:09 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:09 -0700] "GET /project1/add.gif HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:11 -0700] "GET /project1/form?title=Cara%20prestada&year=2001&director=Roberto%20Flores&star=&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:11 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:11 -0700] "GET /project1/add.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:12 -0700] "GET /project1/star?title=&year=&director=&star=Alberto%20Estrella&pages=10&sort=ta&initial=0&genre=&char= HTTP/1.1" 200 3655
0:0:0:0:0:0:0:1 - - [06/Jun/2018:12:45:12 -0700] "GET /project1/search.css HTTP/1.1" 200 3662
